Applicable_Manufacturer_or_Applicable_GPO_Making_Payment_Name,Dispute_Status_for_Publication,Name_of_Associated_Covered_Device_or_Medical_Supply1,Name_of_Associated_Covered_Drug_or_Biological1,Physician_Specialty,status
"Smith & Nephew, Inc.",No,,Regranex,Allopathic & Osteopathic Physicians|Orthopaedic Surgery|Foot and Ankle Surgery,disallowed
"Smith & Nephew, Inc.",No,,,Allopathic & Osteopathic Physicians|Pathology|Anatomic Pathology & Clinical Pathology,disallowed
TearLab Corp,No,TearLab Osmolarity System,,Allopathic & Osteopathic Physicians|Emergency Medicine,disallowed
"Interventional Spine, Inc.",No,Perx360,,Allopathic & Osteopathic Physicians|Neurological Surgery,disallowed
"RTI Surgical, Inc.",No,nanOss BA3D,,Allopathic & Osteopathic Physicians|Surgery,disallowed
"RTI Surgical, Inc.",No,DBM,,Allopathic & Osteopathic Physicians|Orthopaedic Surgery|Orthopaedic Surgery of the Spine,disallowed
"RTI Surgical, Inc.",No,Allograft-Tissue Graft,,Allopathic & Osteopathic Physicians|Neurological Surgery,disallowed
"RTI Surgical, Inc.",No,Streamline CT I,,Allopathic & Osteopathic Physicians|Orthopaedic Surgery,disallowed
"RTI Surgical, Inc.",No,Hernia Mesh,,Other Service Providers|Specialist,disallowed
"RTI Surgical, Inc.",No,nanOss BA3D,,Podiatric Medicine & Surgery Service Providers|Podiatrist|Primary Podiatric Medicine,disallowed
"RTI Surgical, Inc.",No,Perc Grafting Locked  Loaded,,Allopathic & Osteopathic Physicians|Neurological Surgery,disallowed
"RTI Surgical, Inc.",No,NuNec OUS,,Allopathic & Osteopathic Physicians|Orthopaedic Surgery,disallowed
"RTI Surgical, Inc.",No,Fortiva,,Allopathic & Osteopathic Physicians|Family Medicine,disallowed
"RTI Surgical, Inc.",No,TutoMesh-Hernia,,Allopathic & Osteopathic Physicians|Plastic Surgery,disallowed
"RTI Surgical, Inc.",No,Hernia Mesh,,Allopathic & Osteopathic Physicians|Surgery|Vascular Surgery,disallowed
"RTI Surgical, Inc.",No,Tritium STAT Bone Wax,,Physician Assistants & Advanced Practice Nursing Providers|Nurse Practitioner|Gerontology,disallowed
"RTI Surgical, Inc.",No,Fortiva,,Physician Assistants & Advanced Practice Nursing Providers|Physician Assistant,disallowed
"RTI Surgical, Inc.",No,CrossFuse II,,Physician Assistants & Advanced Practice Nursing Providers|Physician Assistant,disallowed
"RTI Surgical, Inc.",No,Streamline Degen II,,Allopathic & Osteopathic Physicians|Orthopaedic Surgery|Orthopaedic Surgery of the Spine,disallowed
"RTI Surgical, Inc.",No,Porcine Dermis,,Allopathic & Osteopathic Physicians|Surgery|Vascular Surgery,disallowed
"RTI Surgical, Inc.",No,DBM,,Allopathic & Osteopathic Physicians|Orthopaedic Surgery|Sports Medicine,disallowed
"RTI Surgical, Inc.",No,Peek Fusion Interbody - IJAK VBR,,Allopathic & Osteopathic Physicians|Orthopaedic Surgery,disallowed
"RTI Surgical, Inc.",No,CrossFuse I,,Other Service Providers|Specialist,disallowed
"RTI Surgical, Inc.",No,OLIF,,Allopathic & Osteopathic Physicians|Orthopaedic Surgery,disallowed
"RTI Surgical, Inc.",No,RTI Product,,Allopathic & Osteopathic Physicians|Orthopaedic Surgery|Sports Medicine,disallowed
"RTI Surgical, Inc.",No,nanOss Bioactive,,Allopathic & Osteopathic Physicians|Neuromusculoskeletal Medicine & OMM,disallowed
"RTI Surgical, Inc.",No,Tritium STAT Bone Wax,,Allopathic & Osteopathic Physicians|Pathology|Anatomic Pathology & Clinical Pathology,disallowed
"RTI Surgical, Inc.",No,Lateral 4 in 1- LatFuse Lateral Plate,,Other Service Providers|Specialist,disallowed
"Pinnacle, Inc",No,ALL ARTHREX PRODUCT LINES,,Allopathic & Osteopathic Physicians|Surgery,disallowed
"Pinnacle, Inc",No,,,Allopathic & Osteopathic Physicians|Surgery,disallowed
"Pinnacle, Inc",No,ARTHREX PRODUCT LINE KNEE & HIP ARTHROSCOPY,,Allopathic & Osteopathic Physicians|Orthopaedic Surgery|Adult Reconstructive Orthopaedic Surgery,disallowed
"Pinnacle, Inc",No,ARTHREX PRODUCT LINE DISTAL EXTREMITY ARTHROSCOPY,,Allopathic & Osteopathic Physicians|Orthopaedic Surgery,disallowed
"Pinnacle, Inc",No,,,Allopathic & Osteopathic Physicians|Orthopaedic Surgery|Sports Medicine,disallowed
Ferring Pharmaceuticals Inc.,No,,PREPOPIK,Allopathic & Osteopathic Physicians|Pediatrics|Pediatric Gastroenterology,disallowed
"Smith & Nephew, Inc.",No,Wound Matrix,,Allopathic & Osteopathic Physicians|Otolaryngology|Pediatric Otolaryngology,disallowed
Astellas Pharma US Inc,No,,TARCEVA,,disallowed
Astellas Pharma US Inc,No,,Protopic,Allopathic & Osteopathic Physicians|Obstetrics & Gynecology,disallowed
Astellas Pharma US Inc,No,,MYCAMINE,Allopathic & Osteopathic Physicians|Dermatology,disallowed
Astellas Pharma US Inc,No,,Lexiscan,"Allopathic & Osteopathic Physicians|Internal Medicine|Endocrinology, Diabetes & Metabolism",disallowed
Astellas Pharma US Inc,Yes,,MYCAMINE,,disallowed
Astellas Pharma US Inc,No,,TARCEVA,Podiatric Medicine & Surgery Service Providers|Podiatrist,disallowed
Astellas Pharma US Inc,No,,MYCAMINE,Allopathic & Osteopathic Physicians|Colon & Rectal Surgery,disallowed
Astellas Pharma US Inc,Yes,,Myrbetriq,Allopathic & Osteopathic Physicians|Obstetrics & Gynecology,disallowed
Astellas Pharma US Inc,No,,XTANDI,Allopathic & Osteopathic Physicians|Internal Medicine|Gastroenterology,disallowed
Astellas Pharma US Inc,No,,Myrbetriq,Allopathic & Osteopathic Physicians|Preventive Medicine|Aerospace Medicine,disallowed
Astellas Pharma US Inc,No,,XTANDI,Allopathic & Osteopathic Physicians|Obstetrics & Gynecology,disallowed
Astellas Pharma US Inc,No,,,Allopathic & Osteopathic Physicians|Pediatrics|Pediatric Hematology-Oncology,disallowed
Astellas Pharma US Inc,No,,ASTAGRAF XL,Allopathic & Osteopathic Physicians|Internal Medicine|Gastroenterology,disallowed
Astellas Pharma US Inc,No,,,Allopathic & Osteopathic Physicians|Preventive Medicine|Public Health & General Preventive Medicine,disallowed
Astellas Pharma US Inc,No,,MYCAMINE,Allopathic & Osteopathic Physicians|Radiology|Diagnostic Radiology,disallowed
Astellas Pharma US Inc,No,,AmBisome,Allopathic & Osteopathic Physicians|Emergency Medicine,disallowed
Astellas Pharma US Inc,No,,XTANDI,Dental Providers|Dentist,disallowed
Astellas Pharma US Inc,Yes,,Myrbetriq,Allopathic & Osteopathic Physicians|Physical Medicine & Rehabilitation,disallowed
Astellas Pharma US Inc,Yes,,XTANDI,Allopathic & Osteopathic Physicians|Internal Medicine|Hematology & Oncology,disallowed
Astellas Pharma US Inc,No,,XTANDI,Allopathic & Osteopathic Physicians|Internal Medicine|Medical Oncology,disallowed
Astellas Pharma US Inc,No,,,Allopathic & Osteopathic Physicians|Internal Medicine|Hepatology,disallowed
Astellas Pharma US Inc,No,,,Allopathic & Osteopathic Physicians|Thoracic Surgery (Cardiothoracic Vascular Surgery),disallowed
Astellas Pharma US Inc,No,,Protopic,Dental Providers|Dentist|Periodontics,disallowed
Astellas Pharma US Inc,No,,ASTAGRAF XL,Allopathic & Osteopathic Physicians|Anesthesiology,disallowed
Astellas Pharma US Inc,No,,Prograf,Allopathic & Osteopathic Physicians|Internal Medicine|Gastroenterology,disallowed
Astellas Pharma US Inc,No,,VESIcare,Allopathic & Osteopathic Physicians|Psychiatry & Neurology|Psychiatry,disallowed
Astellas Pharma US Inc,No,,,Allopathic & Osteopathic Physicians|Emergency Medicine,disallowed
Astellas Pharma US Inc,No,,VESIcare,Allopathic & Osteopathic Physicians|Anesthesiology,disallowed
Astellas Pharma US Inc,No,,MYCAMINE,Allopathic & Osteopathic Physicians|Thoracic Surgery (Cardiothoracic Vascular Surgery),disallowed
Astellas Pharma US Inc,No,,Prograf,Dental Providers|Dentist|Oral and Maxillofacial Surgery,disallowed
Astellas Pharma US Inc,No,,Myrbetriq,Allopathic & Osteopathic Physicians|Psychiatry & Neurology|Child & Adolescent Psychiatry,disallowed
Astellas Pharma US Inc,No,,MYCAMINE,Allopathic & Osteopathic Physicians|Ophthalmology,disallowed
Astellas Pharma US Inc,No,,,Allopathic & Osteopathic Physicians|Hospitalist,disallowed
Astellas Pharma US Inc,No,,MYCAMINE,Dental Providers|Dentist|Pediatric Dentistry,disallowed
Astellas Pharma US Inc,No,,Protopic,Allopathic & Osteopathic Physicians|Allergy & Immunology,disallowed
Astellas Pharma US Inc,No,,Myrbetriq,Allopathic & Osteopathic Physicians|Hospitalist,disallowed
Astellas Pharma US Inc,No,,Lexiscan,Allopathic & Osteopathic Physicians|Allergy & Immunology|Allergy,disallowed
Astellas Pharma US Inc,No,,AmBisome,Allopathic & Osteopathic Physicians|Dermatology,disallowed
Astellas Pharma US Inc,No,,TARCEVA,Allopathic & Osteopathic Physicians|Family Medicine,disallowed
Astellas Pharma US Inc,No,,Myrbetriq,Allopathic & Osteopathic Physicians|Internal Medicine|Hospice and Palliative Medicine,disallowed
Astellas Pharma US Inc,No,,Lexiscan,Eye and Vision Services Providers|Optometrist,disallowed
Astellas Pharma US Inc,No,,MYCAMINE,Allopathic & Osteopathic Physicians|Psychiatry & Neurology|Child & Adolescent Psychiatry,disallowed
Astellas Pharma US Inc,No,,TARCEVA,Allopathic & Osteopathic Physicians|Radiology|Diagnostic Radiology,disallowed
Astellas Pharma US Inc,No,,XTANDI,Allopathic & Osteopathic Physicians|General Practice,disallowed
Astellas Pharma US Inc,No,,Prograf,Allopathic & Osteopathic Physicians|Transplant Surgery,disallowed
Astellas Pharma US Inc,No,,Myrbetriq,Allopathic & Osteopathic Physicians|Pediatrics|Pediatric Hematology-Oncology,disallowed
Astellas Pharma US Inc,No,,Lexiscan,Allopathic & Osteopathic Physicians|Pediatrics|Neonatal-Perinatal Medicine,disallowed
Astellas Pharma US Inc,No,,AmBisome,Allopathic & Osteopathic Physicians|Psychiatry & Neurology|Psychiatry,disallowed
Astellas Pharma US Inc,No,,MYCAMINE,Allopathic & Osteopathic Physicians|Obstetrics & Gynecology|Obstetrics,disallowed
Astellas Pharma US Inc,No,,Lexiscan,Allopathic & Osteopathic Physicians|Pediatrics|Pediatric Gastroenterology,disallowed
Astellas Pharma US Inc,No,,Lexiscan,Podiatric Medicine & Surgery Service Providers|Podiatrist,disallowed
Astellas Pharma US Inc,No,,MYCAMINE,Allopathic & Osteopathic Physicians|Orthopaedic Surgery|Orthopaedic Surgery of the Spine,disallowed
Astellas Pharma US Inc,No,,Lexiscan,Allopathic & Osteopathic Physicians|Radiology|Neuroradiology,disallowed
Astellas Pharma US Inc,No,,Lexiscan,Dental Providers|Dentist|Pediatric Dentistry,disallowed
Astellas Pharma US Inc,No,,TARCEVA,Allopathic & Osteopathic Physicians|Pediatrics,disallowed
Astellas Pharma US Inc,No,,MYCAMINE,Dental Providers|Dentist|Oral and Maxillofacial Surgery,disallowed
Astellas Pharma US Inc,No,,XTANDI,Allopathic & Osteopathic Physicians|Medical Genetics|Clinical Genetics (M.D.),disallowed
Astellas Pharma US Inc,No,,Myrbetriq,Allopathic & Osteopathic Physicians|Internal Medicine|Clinical Cardiac Electrophysiology,disallowed
Astellas Pharma US Inc,No,,Lexiscan,Allopathic & Osteopathic Physicians|Internal Medicine|Rheumatology,disallowed
Ferring Pharmaceuticals Inc.,No,EUFLEXXA,,Allopathic & Osteopathic Physicians|Internal Medicine|Gastroenterology,disallowed
Ferring Pharmaceuticals Inc.,No,,FIRMAGON,Allopathic & Osteopathic Physicians|Radiology|Diagnostic Radiology,disallowed
Ferring Pharmaceuticals Inc.,No,,MENOPUR,Allopathic & Osteopathic Physicians|Obstetrics & Gynecology|Gynecology,disallowed
Ferring Pharmaceuticals Inc.,No,,,"Allopathic & Osteopathic Physicians|Internal Medicine|Endocrinology, Diabetes & Metabolism",disallowed
Ferring Pharmaceuticals Inc.,No,,,Allopathic & Osteopathic Physicians|Urology,disallowed
Ferring Pharmaceuticals Inc.,No,,MENOPUR,Allopathic & Osteopathic Physicians|Urology,disallowed
Ferring Pharmaceuticals Inc.,No,,PREPOPIK,Allopathic & Osteopathic Physicians|Obstetrics & Gynecology,disallowed
Ferring Pharmaceuticals Inc.,No,,,Allopathic & Osteopathic Physicians|Orthopaedic Surgery,disallowed
Ferring Pharmaceuticals Inc.,No,,FIRMAGON,"Allopathic & Osteopathic Physicians|Internal Medicine|Endocrinology, Diabetes & Metabolism",disallowed
Ferring Pharmaceuticals Inc.,No,EUFLEXXA,,Allopathic & Osteopathic Physicians|Orthopaedic Surgery|Adult Reconstructive Orthopaedic Surgery,disallowed
Ferring Pharmaceuticals Inc.,No,,MENOPUR,Allopathic & Osteopathic Physicians|Radiology|Diagnostic Radiology,disallowed
Ferring Pharmaceuticals Inc.,No,,,Allopathic & Osteopathic Physicians|Internal Medicine|Rheumatology,disallowed
Ferring Pharmaceuticals Inc.,No,EUFLEXXA,,Allopathic & Osteopathic Physicians|Emergency Medicine,disallowed
Ferring Pharmaceuticals Inc.,No,,PREPOPIK,Allopathic & Osteopathic Physicians|Family Medicine|Geriatric Medicine,disallowed
Ferring Pharmaceuticals Inc.,No,EUFLEXXA,,Allopathic & Osteopathic Physicians|Pain Medicine|Pain Medicine,disallowed
Ferring Pharmaceuticals Inc.,No,EUFLEXXA,,Allopathic & Osteopathic Physicians|Anesthesiology,disallowed
Ferring Pharmaceuticals Inc.,No,,,Allopathic & Osteopathic Physicians|Pediatrics,disallowed
Ferring Pharmaceuticals Inc.,No,,FIRMAGON,Allopathic & Osteopathic Physicians|Obstetrics & Gynecology,disallowed
Ferring Pharmaceuticals Inc.,No,EUFLEXXA,,Allopathic & Osteopathic Physicians|Orthopaedic Surgery|Foot and Ankle Surgery,disallowed
Ferring Pharmaceuticals Inc.,No,,MENOPUR,Allopathic & Osteopathic Physicians|Internal Medicine,disallowed
Ferring Pharmaceuticals Inc.,No,,PREPOPIK,Allopathic & Osteopathic Physicians|Internal Medicine|Cardiovascular Disease,disallowed
Ferring Pharmaceuticals Inc.,No,,PREPOPIK,Allopathic & Osteopathic Physicians|Orthopaedic Surgery,disallowed
Ferring Pharmaceuticals Inc.,No,EUFLEXXA,,Allopathic & Osteopathic Physicians|Orthopaedic Surgery|Orthopaedic Surgery of the Spine,disallowed
Ferring Pharmaceuticals Inc.,No,,PREPOPIK,Allopathic & Osteopathic Physicians|Emergency Medicine,disallowed
Ferring Pharmaceuticals Inc.,No,EUFLEXXA,,Allopathic & Osteopathic Physicians|Pediatrics,disallowed
Ferring Pharmaceuticals Inc.,No,,BRAVELLE,Allopathic & Osteopathic Physicians|Internal Medicine|Rheumatology,disallowed
Ferring Pharmaceuticals Inc.,No,EUFLEXXA,,Allopathic & Osteopathic Physicians|Orthopaedic Surgery|Orthopaedic Trauma,disallowed
Ferring Pharmaceuticals Inc.,No,,FIRMAGON,Allopathic & Osteopathic Physicians|General Practice,disallowed
Ferring Pharmaceuticals Inc.,No,,BRAVELLE,Allopathic & Osteopathic Physicians|Obstetrics & Gynecology|Gynecology,disallowed
Ferring Pharmaceuticals Inc.,No,,MENOPUR,Dental Providers|Dentist,disallowed
Ferring Pharmaceuticals Inc.,No,EUFLEXXA,,Allopathic & Osteopathic Physicians|Colon & Rectal Surgery,disallowed
Ferring Pharmaceuticals Inc.,No,,MENOPUR,Allopathic & Osteopathic Physicians|Family Medicine,disallowed
Ferring Pharmaceuticals Inc.,No,,PREPOPIK,Allopathic & Osteopathic Physicians|Physical Medicine & Rehabilitation,disallowed
Fisher & Paykel Healthcare Inc,No,OSA,,Physician Assistants & Advanced Practice Nursing Providers|Physician Assistant|Surgical Technologist,disallowed
Fisher & Paykel Healthcare Inc,No,OSA,,Allopathic & Osteopathic Physicians|Psychiatry & Neurology|Neurology,disallowed
Fisher & Paykel Healthcare Inc,No,OSA,,Allopathic & Osteopathic Physicians|Internal Medicine|Sleep Medicine,disallowed
Fisher & Paykel Healthcare Inc,No,OSA,,Other Service Providers|Specialist,disallowed
Fisher & Paykel Healthcare Inc,No,OSA,,Allopathic & Osteopathic Physicians|Pain Medicine|Interventional Pain Medicine,disallowed
Fisher & Paykel Healthcare Inc,No,OSA,,Allopathic & Osteopathic Physicians|Family Medicine,disallowed
Fisher & Paykel Healthcare Inc,No,OSA,,Behavioral Health & Social Service Providers|Psychologist|Clinical,disallowed
Fisher & Paykel Healthcare Inc,No,OSA,,Allopathic & Osteopathic Physicians|Emergency Medicine,disallowed
Fisher & Paykel Healthcare Inc,No,OSA,,Physician Assistants & Advanced Practice Nursing Providers|Physician Assistant|Medical,disallowed
Fisher & Paykel Healthcare Inc,No,OSA,,"Student, Health Care|Student in an Organized Health Care Education/Training Program",disallowed
Fisher & Paykel Healthcare Inc,No,OSA,,Allopathic & Osteopathic Physicians|Pediatrics|Neonatal-Perinatal Medicine,disallowed
Fisher & Paykel Healthcare Inc,No,OSA,,Physician Assistants & Advanced Practice Nursing Providers|Nurse Practitioner|Gerontology,disallowed
Fisher & Paykel Healthcare Inc,No,OSA,,Allopathic & Osteopathic Physicians|Internal Medicine,disallowed
Fisher & Paykel Healthcare Inc,No,OSA,,Physician Assistants & Advanced Practice Nursing Providers|Nurse Practitioner|Adult Health,disallowed
Ferring Pharmaceuticals Inc.,No,,PREPOPIK,Dental Providers|Dentist,disallowed
Ferring Pharmaceuticals Inc.,No,,PREPOPIK,Allopathic & Osteopathic Physicians|Obstetrics & Gynecology|Reproductive Endocrinology,disallowed
Ferring Pharmaceuticals Inc.,No,,MENOPUR,Allopathic & Osteopathic Physicians|Urology|Pediatric Urology,disallowed
Ferring Pharmaceuticals Inc.,No,,FIRMAGON,Allopathic & Osteopathic Physicians|Anesthesiology,disallowed
Ferring Pharmaceuticals Inc.,No,,MISODEL,Allopathic & Osteopathic Physicians|Obstetrics & Gynecology|Maternal & Fetal Medicine,disallowed
Ferring Pharmaceuticals Inc.,No,,MENOPUR,Allopathic & Osteopathic Physicians|Ophthalmology,disallowed
Ferring Pharmaceuticals Inc.,No,,FIRMAGON,Allopathic & Osteopathic Physicians|Family Medicine|Hospice and Palliative Medicine,disallowed
Ferring Pharmaceuticals Inc.,No,,,Allopathic & Osteopathic Physicians|Internal Medicine|Gastroenterology,disallowed
Ferring Pharmaceuticals Inc.,No,EUFLEXXA,,Allopathic & Osteopathic Physicians|Family Medicine|Geriatric Medicine,disallowed
Ferring Pharmaceuticals Inc.,No,EUFLEXXA,,Allopathic & Osteopathic Physicians|Internal Medicine|Medical Oncology,disallowed
Ferring Pharmaceuticals Inc.,No,,MISODEL,Allopathic & Osteopathic Physicians|Obstetrics & Gynecology,disallowed
Fisher & Paykel Healthcare Inc,No,OSA,,Behavioral Health & Social Service Providers|Social Worker|Clinical,disallowed
Fisher & Paykel Healthcare Inc,No,OSA,,Nursing Service Providers|Registered Nurse,disallowed
Fisher & Paykel Healthcare Inc,No,OSA,,Allopathic & Osteopathic Physicians|Pediatrics|Pediatric Critical Care Medicine,disallowed
Crosstex International Inc.,No,SAFETY MASK,,Dental Providers|Dentist|General Practice,disallowed
Crosstex International Inc.,No,Sure-Check,,Dental Providers|Dentist|General Practice,disallowed
SANOFI-AVENTIS U.S. LLC,No,,APIDRA,Allopathic & Osteopathic Physicians|Pediatrics|Developmental  Behavioral Pediatrics,disallowed
Ferring SA de CV,No,,,Allopathic & Osteopathic Physicians|Obstetrics & Gynecology|Gynecology,disallowed
"BioHorizons Implant Systems, Inc.",No,Dental Prosthetics,,,disallowed
"Biomet Microfixation, LLC",No,MICROFIXATION - ORAL AND MAXILLOFACIAL,,Dental Providers|Dentist|Oral and Maxillofacial Surgery,disallowed
"Biomet Microfixation, LLC",No,MICROFIXATION - ORAL AND MAXILLOFACIAL,,Allopathic & Osteopathic Physicians|Surgery|Plastic and Reconstructive Surgery,disallowed
"Biomet Microfixation, LLC",No,MICROFIXATION - PLASTIC RECONSTRUCTION,,Dental Providers|Dentist,disallowed
"Biomet Microfixation, LLC",No,MICROFIXATION - CRANIOMAXILLOFACIAL,,Allopathic & Osteopathic Physicians|Otolaryngology,disallowed
"Biomet Microfixation, LLC",No,MICROFIXATION - ORAL AND MAXILLOFACIAL,,Hospitals|General Acute Care Hospital|Critical Access,disallowed
"Biomet Microfixation, LLC",No,MICROFIXATION - PLASTIC RECONSTRUCTION,,Hospitals|General Acute Care Hospital|Critical Access,disallowed
"Biomet Microfixation, LLC",No,MICROFIXATION - PLASTIC RECONSTRUCTION,,Allopathic & Osteopathic Physicians|Surgery|Plastic and Reconstructive Surgery,disallowed
"Biomet Microfixation, LLC",No,MICROFIXATION - NEURO,,Allopathic & Osteopathic Physicians|Neurological Surgery,disallowed
"Biomet Microfixation, LLC",No,MICROFIXATION - ORAL AND MAXILLOFACIAL,,Allopathic & Osteopathic Physicians|Otolaryngology,disallowed
"Biomet Microfixation, LLC",No,MICROFIXATION - PLASTIC RECONSTRUCTION,,Dental Providers|Dentist|Oral and Maxillofacial Surgery,disallowed
"Biomet Microfixation, LLC",No,MICROFIXATION - CRANIOMAXILLOFACIAL,,Allopathic & Osteopathic Physicians|Surgery,disallowed
"Biomet Microfixation, LLC",No,MICROFIXATION - THORACIC,,Allopathic & Osteopathic Physicians|Plastic Surgery,disallowed
"Biomet Microfixation, LLC",No,MICROFIXATION - ORAL AND MAXILLOFACIAL,,Dental Providers|Dentist|General Practice,disallowed
"Biomet Microfixation, LLC",No,MICROFIXATION - ORAL AND MAXILLOFACIAL,,Podiatric Medicine & Surgery Service Providers|Podiatrist|Foot & Ankle Surgery,disallowed
"Biomet Microfixation, LLC",No,MICROFIXATION - PLASTIC RECONSTRUCTION,,Allopathic & Osteopathic Physicians|Surgery|Surgical Critical Care,disallowed
"Biomet Microfixation, LLC",No,MICROFIXATION - THORACIC,,Allopathic & Osteopathic Physicians|Internal Medicine|Cardiovascular Disease,disallowed
"Biomet Microfixation, LLC",No,MICROFIXATION - PLASTIC RECONSTRUCTION,,Allopathic & Osteopathic Physicians|Plastic Surgery|Surgery of the Hand,disallowed
"Biomet Microfixation, LLC",No,MICROFIXATION - CRANIOMAXILLOFACIAL,,Dental Providers|Dentist|Oral and Maxillofacial Surgery,disallowed
"Biomet Microfixation, LLC",No,MICROFIXATION - ORAL AND MAXILLOFACIAL,,Other Service Providers|Specialist,disallowed
Ferring Pharmaceuticals Inc.,No,EUFLEXXA,,Allopathic & Osteopathic Physicians|Neuromusculoskeletal Medicine & OMM,disallowed
Ferring Pharmaceuticals Inc.,No,EUFLEXXA,,Allopathic & Osteopathic Physicians|Internal Medicine|Pulmonary Disease,disallowed
Ferring Pharmaceuticals Inc.,No,,PREPOPIK,Allopathic & Osteopathic Physicians|Internal Medicine|Infectious Disease,disallowed
Ferring Pharmaceuticals Inc.,No,,MENOPUR,Allopathic & Osteopathic Physicians|Pediatrics,disallowed
Ferring Pharmaceuticals Inc.,No,,PREPOPIK,Allopathic & Osteopathic Physicians|Urology,disallowed
"BIOMET 3I, LLC",No,3I - DENTAL,,Dental Providers|Dentist|Oral and Maxillofacial Surgery,disallowed
"BIOMET 3I, LLC",No,3I - DENTAL,,Dental Providers|Dentist,disallowed
"BIOMET 3I, LLC",No,3I - DENTAL,,Dental Providers|Dentist|Prosthodontics,disallowed
"BIOMET 3I, LLC",No,3I - DENTAL,,Dental Providers|Dentist|General Practice,disallowed
"BIOMET 3I, LLC",No,3I - DENTAL,,Allopathic & Osteopathic Physicians|Oral & Maxillofacial Surgery,disallowed
"BIOMET 3I, LLC",No,3I - TISSUE PRODUCTS,,Dental Providers|Dentist|Periodontics,disallowed
"BIOMET 3I, LLC",No,3I - DENTAL,,Dental Providers|Dentist|Periodontics,disallowed
"BIOMET 3I, LLC",No,3I - TISSUE PRODUCTS,,Dental Providers|Dentist|Oral and Maxillofacial Surgery,disallowed
"Biomet Microfixation, LLC",No,MICROFIXATION - ORAL AND MAXILLOFACIAL,,Allopathic & Osteopathic Physicians|Oral & Maxillofacial Surgery,disallowed
"Biomet Microfixation, LLC",No,MICROFIXATION - THORACIC,,Allopathic & Osteopathic Physicians|Otolaryngology|Otolaryngology/Facial Plastic Surgery,disallowed
"Biomet Microfixation, LLC",No,MICROFIXATION - THORACIC,,Allopathic & Osteopathic Physicians|Internal Medicine,disallowed
"Biomet Microfixation, LLC",No,MICROFIXATION - ORAL AND MAXILLOFACIAL,,Allopathic & Osteopathic Physicians|Orthopaedic Surgery,disallowed
"Biomet Microfixation, LLC",No,MICROFIXATION - PLASTIC RECONSTRUCTION,,Allopathic & Osteopathic Physicians|Plastic Surgery,disallowed
"Biomet Microfixation, LLC",No,MICROFIXATION - THORACIC,,Allopathic & Osteopathic Physicians|Thoracic Surgery (Cardiothoracic Vascular Surgery),disallowed
"Biomet Microfixation, LLC",No,MICROFIXATION - THORACIC,,Allopathic & Osteopathic Physicians|Surgery|Vascular Surgery,disallowed
"Biomet Microfixation, LLC",No,MICROFIXATION - THORACIC,,Allopathic & Osteopathic Physicians|Surgery,disallowed
"Biomet Microfixation, LLC",No,MICROFIXATION - ENT,,Dental Providers|Dentist|Oral and Maxillofacial Surgery,disallowed
"Biomet Microfixation, LLC",No,MICROFIXATION - PLASTIC RECONSTRUCTION,,Allopathic & Osteopathic Physicians|Otolaryngology,disallowed
"Biomet Microfixation, LLC",No,MICROFIXATION - PLASTIC RECONSTRUCTION,,Allopathic & Osteopathic Physicians|Orthopaedic Surgery|Sports Medicine,disallowed
"Biomet Microfixation, LLC",No,MICROFIXATION - ORAL AND MAXILLOFACIAL,,Allopathic & Osteopathic Physicians|Thoracic Surgery (Cardiothoracic Vascular Surgery),disallowed
"Biomet Microfixation, LLC",No,MICROFIXATION - THORACIC,,Allopathic & Osteopathic Physicians|Surgery|Plastic and Reconstructive Surgery,disallowed
"Biomet Microfixation, LLC",No,MICROFIXATION - ORAL AND MAXILLOFACIAL,,Dental Providers|Dentist,disallowed
"Biomet Microfixation, LLC",No,MICROFIXATION - ENT,,Allopathic & Osteopathic Physicians|Surgery|Pediatric Surgery,disallowed
"Biomet Microfixation, LLC",No,MICROFIXATION - PLASTIC RECONSTRUCTION,,Allopathic & Osteopathic Physicians|Oral & Maxillofacial Surgery,disallowed
"Biomet Microfixation, LLC",No,MICROFIXATION - ENT,,Allopathic & Osteopathic Physicians|Thoracic Surgery (Cardiothoracic Vascular Surgery),disallowed
"Biomet Microfixation, LLC",No,MICROFIXATION - ORAL AND MAXILLOFACIAL,,,disallowed
"Biomet Microfixation, LLC",No,MICROFIXATION - THORACIC,,Allopathic & Osteopathic Physicians|Surgery|Trauma Surgery,disallowed
"Biomet Microfixation, LLC",No,MICROFIXATION - CRANIOMAXILLOFACIAL,,Allopathic & Osteopathic Physicians|Otolaryngology|Facial Plastic Surgery,disallowed
Ferring Pharmaceuticals Inc.,No,,PREPOPIK,Allopathic & Osteopathic Physicians|Internal Medicine|Hematology & Oncology,disallowed
Ferring Pharmaceuticals Inc.,No,,MENOPUR,Allopathic & Osteopathic Physicians|Internal Medicine|Hematology & Oncology,disallowed
Ferring Pharmaceuticals Inc.,No,,PREPOPIK,Allopathic & Osteopathic Physicians|Otolaryngology,disallowed
Ferring Pharmaceuticals Inc.,No,EUFLEXXA,,Allopathic & Osteopathic Physicians|Radiology|Diagnostic Radiology,disallowed
"Biomet Microfixation, LLC",No,MICROFIXATION - NEURO,,Allopathic & Osteopathic Physicians|Anesthesiology,disallowed
"Biomet Microfixation, LLC",No,MICROFIXATION - PLASTIC RECONSTRUCTION,,Allopathic & Osteopathic Physicians|Neurological Surgery,disallowed
