Description,Belts,Personal.Injury,Property.Damage,Commercial.License,Commercial.Vehicle,State,VehicleType,Year,Make,Model,Color,Charge,Contributed.To.Accident,Race,Gender,Driver.City,Driver.State,DL.State,Arrest.Type,Violation.Type
DRIVER OF MOTOR VEHICLE FOLLOWING VEHICLE CLOSER THAN REASONABLE AND PRUDENT,No,No,No,No,No,MD,02 - Automobile,2006.0,TOYOTA,AVALON,SILVER,21310a,No,BLACK,F,SILVER SPRING,MD,MD,A - Marked Patrol,Warning
DRIVER CHANGING LANES WHEN UNSAFE,No,No,No,No,No,MD,02 - Automobile,2004.0,HONDA,4S,BLACK,21309b,No,ASIAN,M,BELTSVILLE,MD,MD,A - Marked Patrol,Warning
DRIVING VEH ON HWY WO REQUIRED MINIMUM EQUIPMENT,No,No,No,No,No,MD,02 - Automobile,2001.0,HONDA,ACCORD,RED,23104,No,BLACK,M,MONTGOMERY VILLAGE,MD,MD,A - Marked Patrol,Warning
DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,No,No,No,No,No,MD,02 - Automobile,2013.0,TOYOTA,CAMRY,BLACK,21201a1,No,BLACK,M,GAITHERSBURG,MD,MD,A - Marked Patrol,Warning
UNAUTHORIZED DISPLAY AND USE OF REGISTRATION PLATE,No,No,No,No,No,MD,05 - Light Duty Truck,2003.0,CHEVROLET,BOX TRUCK,WHITE,13703g,No,WHITE,M,BETHESDA,MD,MD,A - Marked Patrol,Warning
EXCEEDING THE POSTED SPEED LIMIT OF 45 MPH,No,No,No,No,No,MD,02 - Automobile,2017.0,JEEP,TK,BLACK,218011,No,WHITE,F,GAITHERSBURG,MD,MD,A - Marked Patrol,Warning
DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,No,No,No,No,No,MD,02 - Automobile,2009.0,TOYOTA,CAMRY,WHITE,21201a1,No,BLACK,M,LAUREL,MD,MD,A - Marked Patrol,Warning
LEFT TURN FROM IMPROPER ROAD POSITION,No,No,No,No,No,MD,02 - Automobile,2007.0,HONDA,ACCORD,SILVER,21601b,No,WHITE,F,ROCKVILLE,MD,MD,A - Marked Patrol,Warning
FAILURE TO DRIVE VEHICLE ON RIGHT HALF OF ROADWAY WHEN REQUIRED,No,No,No,No,No,MD,02 - Automobile,2002.0,HYUN,4S,GREEN,21301a,No,BLACK,M,MONTGOMERY VILLAGE,MD,MD,A - Marked Patrol,Warning
DRIVER CHANGING LANES WHEN UNSAFE,No,No,No,No,No,MD,02 - Automobile,1996.0,NISSAN,200SX,BLACK,21309b,No,HISPANIC,M,SILVER SPRING,MD,MD,A - Marked Patrol,Warning
DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,No,No,No,No,No,MD,02 - Automobile,2003.0,LINCOLN,NAVIGATOR,RED,21201a1,No,BLACK,F,SILVER SPRING,MD,MD,A - Marked Patrol,Warning
DISPLAYING EXPIRED REGISTRATION PLATE ISSUED BY ANY STATE,No,No,No,Yes,No,IN,02 - Automobile,2002.0,CHEVY,BLAZER,BLUE,13411f,No,WHITE,M,SILVER SPRING,MD,IN,A - Marked Patrol,Warning
DRIVER FAILURE TO STOP AT STOP SIGN LINE,No,No,No,No,No,MD,02 - Automobile,2000.0,FORD,MUSTANG,RED,21707a,No,WHITE,M,NEW MARKET,MD,MD,L - Motorcycle,Warning
OWNER FAILURE TO MAINTAIN REQUIRED SECURITY FOR VEH DURING REG PERIOD,No,No,No,No,No,MD,02 - Automobile,2011.0,FORD,4S,SILVER,17104,No,BLACK,M,HYATTSVILLE,MD,MD,A - Marked Patrol,Warning
PERMITTING VEH TO BE DRIVEN ON HWY WO CURRENT REGISTRATION VALIDATION TABS ISSUED BY ADM,No,No,No,No,No,MD,02 - Automobile,2013.0,CHEVY,SONIC,BLUE,13411e,No,BLACK,F,SILVER SPRING,MD,MD,A - Marked Patrol,Warning
DRIVING VEHICLE IN EXCESS OF REASONABLE AND PRUDENT SPEED ON HIGHWAY 48,No,No,No,No,No,MD,02 - Automobile,2013.0,CHEVY,VOLT,BLUE DARK,21801a,No,WHITE,M,ELLICOTT CITY,MD,MD,A - Marked Patrol,Warning
DRIVING VEHICLE ON HIGHWAY WITH SUSPENDED REGISTRATION,No,No,No,No,No,MD,02 - Automobile,2010.0,HONDA,CIVIC,BLUE LIGHT,13401h,No,WHITE,F,ROCKVILLE,MD,MD,A - Marked Patrol,Warning
DRIVER FAILURE TO STOP AT STEADY CIRCULAR RED SIGNAL,No,No,No,No,No,MD,02 - Automobile,2002.0,HONDA,ACCORD,SILVER,21202h1,No,ASIAN,M,ROCKVILLE,MD,MD,A - Marked Patrol,Warning
DRIVER FAIL TO STOP AT FLASHING RED TRAFFIC SIGNAL STOP LINE,No,No,No,No,No,MD,02 - Automobile,2012.0,NISSIAN,ALTIMA,GOLD,21204b,No,BLACK,M,WASHINGTON,DC,DC,A - Marked Patrol,Warning
FAILURE OF INDIVIDUAL DRIVING ON HIGHWAY TO DISPLAY LICENSE TO UNIFORMED POLICE ON DEMAND,No,No,No,No,No,MD,02 - Automobile,2008.0,FORD,E250,WHITE,16112c,No,HISPANIC,M,HYATTSVILLE,MD,MD,A - Marked Patrol,Warning
EXCEEDING THE POSTED SPEED LIMIT OF 45 MPH,No,No,No,No,No,MD,02 - Automobile,2004.0,HYUNDAI,SONATA,BLACK,218011,No,BLACK,M,NEW YORK,NY,NY,A - Marked Patrol,Warning
DRIVER USING HANDS TO USE HANDHELD TELEPHONE WHILEMOTOR VEHICLE IS IN MOTION,No,No,No,No,No,MD,05 - Light Duty Truck,2007.0,DODGE,TK,WHITE,2111242d2,No,WHITE,M,POOLESVILLE,MD,MD,M - Marked (Off-Duty),Warning
EXCEEDING THE POSTED SPEED LIMIT OF 40 MPH,No,No,No,No,No,MD,02 - Automobile,2000.0,HONDA,4S,GRAY,218011,No,HISPANIC,M,MONTGOMERY VILLAGE,MD,MD,A - Marked Patrol,Warning
STOPPING STANDING PARKING VEH ON CROSSWALK,No,No,No,No,No,MD,02 - Automobile,2006.0,TOYOTA,CAMRY,SILVER,211003e,No,BLACK,M,GERMANTOWN,MD,MI,A - Marked Patrol,Warning
DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,No,No,No,No,No,MD,02 - Automobile,2016.0,CHRYSLER,4DR,GRAY,21201a1,No,HISPANIC,F,ROCKVILLE,MD,MD,A - Marked Patrol,Warning
DRIVING A VEHICLE WHILE A REMOVABLE WINDSHIELD PLACARD IS HANGING FROM THE INSIDE REARVIEW MIRROR,No,No,No,No,No,MD,02 - Automobile,2000.0,PLYMOTH,GRAND VOYAGER,BLUE,136161f2,No,BLACK,F,SILVER SPRING,MD,MD,A - Marked Patrol,Warning
DRIVER FAILURE TO OBEY TRAFFIC DEVICE ON MAKING TURN,No,No,No,No,No,MD,02 - Automobile,1997.0,TOYT,4S,GREEN,21601d,No,OTHER,F,GERMANTOWN,MD,MD,A - Marked Patrol,Warning
EXCEEDING THE POSTED SPEED LIMIT OF 35 MPH,No,No,No,No,No,MD,02 - Automobile,2013.0,HYUN,TK,BLUE DARK,218011,No,BLACK,F,GAITHERSBURG,MD,MD,A - Marked Patrol,Warning
EXCEEDING THE POSTED SPEED LIMIT OF 30 MPH,No,No,No,No,No,TN,03 - Station Wagon,2011.0,CHRYSLER,TWN AND CNTRY,BLACK,218011,No,WHITE,F,KNOXVILLE,TN,TN,Q - Marked Laser,Warning
DRIVER WHEN TURNING LEFT FAIL TO YIELD RIGHT OF WAY TO VEHICLE APPROACHING FROM OPPOSITE DIRECTION,No,No,No,No,No,MD,02 - Automobile,2018.0,TOYOTA,RAV4,BLUE DARK,21402a,No,HISPANIC,M,TAKOMA PARK,MD,MD,A - Marked Patrol,Warning
DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,No,No,No,No,No,MD,02 - Automobile,1999.0,CHRY,CONCORD LXI,WHITE,21201a1,No,WHITE,F,DERWOOD,MD,MD,A - Marked Patrol,Warning
FAILURE TO DISPLAY REGISTRATION CARD UPON DEMAND BY POLICE OFFICER,No,No,No,No,No,MD,05 - Light Duty Truck,2005.0,TOYOTA,RAV 4,SILVER,13409b,No,OTHER,F,BROOKLYN,NY,NY,A - Marked Patrol,Warning
FAILURE STOP AND YIELD AT THRU HWY,No,No,No,No,No,MD,02 - Automobile,2011.0,DODG,CALIBER,BLACK,21403b,No,WHITE,F,FREDERICK,MD,MD,A - Marked Patrol,Warning
DRIVING VEH ON HWY WO REQUIRED MINIMUM EQUIPMENT,No,No,No,No,No,MD,02 - Automobile,2009.0,TOYOTA,RAV4,RED,23104,No,HISPANIC,F,GERMANTOWN,MD,MD,A - Marked Patrol,Warning
DRIVER FAILURE TO STOP AT STOP SIGN LINE,No,No,No,No,No,MD,02 - Automobile,2005.0,LEXS,4S,SILVER,21707a,No,HISPANIC,F,SANTA CLARA,CA,CA,A - Marked Patrol,Warning
OPER MOTOR VEH WITH OPERATOR NOT RESTRAINED BY SEAT BELT,No,No,No,No,No,MD,02 - Automobile,2011.0,NISSAN,ALTIMA,BLACK,224123b,No,WHITE,F,OLNEY,MD,MD,A - Marked Patrol,Warning
DRIVING VEHICLE ON HIGHWAY WITH SUSPENDED REGISTRATION,No,No,No,No,No,MD,02 - Automobile,2000.0,MERC,SABLE,WHITE,13401h,No,BLACK,M,GWYNN OAK,MD,MD,A - Marked Patrol,Warning
DRIVER USING HANDS TO USE HANDHELD TELEPHONE WHILEMOTOR VEHICLE IS IN MOTION,No,No,No,No,No,MD,02 - Automobile,2002.0,FORD,EXPLORER,GRAY,2111242d2,No,BLACK,M,GAITHERSBURG,MD,MD,A - Marked Patrol,Warning
EXCEEDING THE POSTED SPEED LIMIT OF 40 MPH,No,No,No,No,No,MD,02 - Automobile,2011.0,TOYT,TK,SILVER,218011,No,OTHER,F,CLARKSBURG,MD,MD,A - Marked Patrol,Warning
EXCEEDING THE POSTED SPEED LIMIT OF 30 MPH,No,No,No,No,No,MD,02 - Automobile,2010.0,CHEVY,4S,SILVER,218011,No,WHITE,M,SILVER SPRING,MD,MD,O - Foot Patrol,Warning
EXCEEDING THE POSTED SPEED LIMIT OF 55 MPH,No,No,No,No,No,MD,06 - Heavy Duty Truck,2016.0,FORD,TK,WHITE,218011,No,WHITE,M,BOWIE,MD,MD,A - Marked Patrol,Warning
EXCEEDING THE POSTED SPEED LIMIT OF 30 MPH,No,No,No,No,No,MD,02 - Automobile,2011.0,LEXUS,4S,GOLD,218011,No,BLACK,F,LAUREL,MD,MD,Q - Marked Laser,Warning
FAILURE TO DISPLAY REGISTRATION CARD UPON DEMAND BY POLICE OFFICER,No,No,No,No,No,MD,02 - Automobile,2007.0,TOYOTA,VAN,BLUE,13409b,No,WHITE,F,POOLESVILLE,MD,MD,A - Marked Patrol,Warning
DRIVING VEH WO ADEQUATE REAR REG PLATE ILLUMINATION,No,No,No,Yes,No,MD,02 - Automobile,2006.0,NISSAN,ALTIMA,WHITE,22204f,No,HISPANIC,M,LANGLEY PARK,MD,MD,A - Marked Patrol,Warning
PEDESTRIAN UNSAFELY CROSSING IN PATH OF VEH,No,No,No,Yes,No,XX,29 - Unknown,,,,,21502b,No,BLACK,F,WHEATON,MD,MD,A - Marked Patrol,Warning
FAILURE TO DISPLAY TWO LIGHTED FRONT LAMPS WHEN REQUIRED,No,No,No,No,No,MD,02 - Automobile,2008.0,HONDA,ACCORD,RED,22226a,No,HISPANIC,M,FEDERAL WAY,WA,WA,A - Marked Patrol,Warning
FAILURE OF LICENSEE TO NOTIFY ADMINISTRATION OF CHANGE OF ADDRESS WITHIN 30 DAYS,Yes,No,No,No,No,MD,28 - Other,2012.0,GMC,TERRAIN,WHITE,16116a,No,WHITE,F,GERMANTOWN,MD,MD,R - Unmarked Laser,Warning
DRIVER FAILURE TO OBEY DESIGNATED LANE DIRECTIONS,No,No,No,No,No,MD,02 - Automobile,1996.0,FORD,VN,WHITE,21309d,No,BLACK,M,SILVER SPRING,MD,MD,A - Marked Patrol,Warning
DRIVING VEH ON HWY WO REQUIRED MINIMUM EQUIPMENT,No,No,No,No,No,MD,02 - Automobile,2005.0,TOYOTA,COROLLA,SILVER,23104,No,WHITE,F,ASHTON,MD,MD,A - Marked Patrol,Warning
DRIVER USING HANDS TO USE HANDHELD TELEPHONE WHILEMOTOR VEHICLE IS IN MOTION,No,No,No,Yes,No,MD,02 - Automobile,2007.0,JEEP,TK,RED,2111242d2,No,HISPANIC,M,BELTSVILLE,MD,MD,A - Marked Patrol,Warning
DRIVING MOTOR VEH ON HWY PUBLICLY USED PRIVATE PLACE WEARING EARPLUGS IN BOTH EARS,No,No,No,No,No,MD,02 - Automobile,1994.0,HONDA,ACCORD,GREEN,211120a,No,HISPANIC,F,SILVER SPRING,MD,MD,A - Marked Patrol,Warning
DRIVER FAIL TO STOP AT FLASHING RED TRAFFIC SIGNAL STOP LINE,No,No,No,No,No,MD,02 - Automobile,2014.0,TOYOTA,COROLLA,WHITE,21204b,No,OTHER,M,ROCKVILLE,MD,MD,A - Marked Patrol,Warning
DRIVE ACROSS PRIVATE PROPERTY FOR THE PURPOSE OF AVOIDING TRAFFIC CONTROL DEVICE,No,No,No,No,No,MD,02 - Automobile,2002.0,LEXU,TK,GOLD,21201a2,No,BLACK,F,HYATTSVILLE,MD,MD,A - Marked Patrol,Warning
DRIVING VEHICLE ON HIGHWAY WITHOUT CURRENT REGISTRATION PLATES AND VALIDATION TABS,No,No,No,No,No,MD,02 - Automobile,2005.0,TOYOTA,PRIUS,RED,13411d,No,WHITE,M,GAITHERSBURG,MD,MD,A - Marked Patrol,Warning
FAILURE TO DISPLAY REGISTRATION CARD UPON DEMAND BY POLICE OFFICER,No,No,No,No,No,MD,02 - Automobile,2003.0,HYUNDAI,4D,BLACK,13409b,No,WHITE,F,FREDERICK,MD,MD,E - Marked Stationary Radar,Warning
DRIVING VEH ON HWY WO REQUIRED MINIMUM EQUIPMENT,No,No,No,No,No,MD,02 - Automobile,2003.0,TOYOTA,COROLLA,SILVER,23104,No,BLACK,F,HYATTSVILLE,MD,MD,A - Marked Patrol,Warning
EXCEEDING THE POSTED SPEED LIMIT OF 30 MPH,No,No,No,No,No,MD,02 - Automobile,2013.0,VOLVO,4D,BLUE DARK,218011,No,BLACK,M,MECHANICSVILLE,MD,MD,Q - Marked Laser,Warning
RECKLESS DRIVING VEHICLE IN WANTON AND WILLFUL DISREGARD FOR SAFETY OF PERSONS AND PROPERTY,No,No,No,No,No,MD,05 - Light Duty Truck,2006.0,FORD,DS,MAROON,219011a,No,WHITE,M,BOYDS,MD,MD,A - Marked Patrol,Warning
DRIVER FAILURE TO USE SIGNAL LAMP BEFORE TURN,No,No,No,No,No,MD,02 - Automobile,2006.0,ACURA,INFINITY,WHITE,21605a,No,HISPANIC,M,ROCKVILLE,MD,MD,A - Marked Patrol,Warning
DRIVER FAILURE TO STOP AT STOP SIGN LINE,No,No,No,No,No,MD,02 - Automobile,2009.0,LEXUS,SUV,WHITE,21707a,No,WHITE,M,BETHESDA,MD,MD,A - Marked Patrol,Warning
DRIVING VEHICLE ON HIGHWAY WITHOUT CURRENT REGISTRATION PLATES AND VALIDATION TABS,No,No,No,No,No,VA,02 - Automobile,2006.0,AUDI,A6,SILVER,13411d,No,ASIAN,M,ARLINGTON,VA,VA,A - Marked Patrol,Warning
FAILURE OF VEH ON HWY TO DISPLAY LIGHTED LAMPS ILLUMINATING DEVICE IN UNFAVORABLE VISIBILITY COND,No,No,No,No,No,VA,02 - Automobile,2014.0,FORD,FOCUS,RED,222011,No,BLACK,M,ROCKVILLE,MD,MD,A - Marked Patrol,Warning
FAILURE TO EQUIP VEH WITH REQUIRED REAR STOP LAMP,No,No,No,No,No,MD,02 - Automobile,2008.0,CHRY,TOWN COUNTRY,BLUE,22219a,No,HISPANIC,M,GERMANTOWN,MD,MD,A - Marked Patrol,Warning
DRIVER USING HANDS TO USE HANDHELD TELEPHONE WHILEMOTOR VEHICLE IS IN MOTION,No,No,No,No,No,MD,02 - Automobile,2002.0,TOYT,4S,GRAY,2111242d2,No,WHITE,M,DERWOOD,MD,MD,A - Marked Patrol,Warning
DRIVING VEHICLE IN EXCESS OF REASONABLE AND PRUDENT SPEED ON HIGHWAY 5745,No,No,No,No,No,MD,02 - Automobile,2014.0,MERCEDES,ML 350,WHITE,21801a,No,HISPANIC,F,OLNEY,MD,MD,Q - Marked Laser,Warning
OPERATING A MV WO PROPER REQUIRED EMERGENCY ROADSIDE WARNING DEVICES,No,No,No,No,Yes,MD,05 - Light Duty Truck,2008.0,CHEVROLET,3500,WHITE,1139395f,No,WHITE,M,DARNESTOWN,MD,MD,A - Marked Patrol,Warning
FAILURE TO DISPLAY REGISTRATION CARD UPON DEMAND BY POLICE OFFICER,No,No,No,No,No,MD,02 - Automobile,2012.0,VOLKSWAGON,JETTA,BEIGE,13409b,No,BLACK,F,SILVER SPRING,MD,MD,A - Marked Patrol,Warning
DRIVER FAILURE TO STOP AT STEADY CIRCULAR RED SIGNAL,No,No,No,No,No,MD,02 - Automobile,2009.0,BMW,X5,BLACK,21202h1,No,OTHER,M,COLUMBIA,MD,MD,A - Marked Patrol,Warning
DRIVING VEHICLE ON HIGHWAY WITH SUSPENDED REGISTRATION,No,No,No,No,No,MD,02 - Automobile,2003.0,CHEVROLET,EXPRESS,GRAY,13401h,No,WHITE,M,SILVER SPRING,MD,MD,A - Marked Patrol,Warning
FAILURE TO ATTACH VEHICLE REGISTRATION PLATES AT FRONT AND REAR,No,No,No,No,No,CT,02 - Automobile,2007.0,HONDA,ACCORD,GRAY,13411a,No,BLACK,F,SILVER SPRING,MD,MD,A - Marked Patrol,Warning
DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,No,No,No,No,No,MD,05 - Light Duty Truck,2004.0,CHEVY,TK,GRAY,21201a1,No,BLACK,M,SHADY SIDE,MD,MD,A - Marked Patrol,Warning
FAILURE OF VEH ON HWY TO DISPLAY LIGHTED LAMPS ILLUMINATING DEVICE IN UNFAVORABLE VISIBILITY COND,No,No,No,No,No,MD,02 - Automobile,2009.0,RANG,TK,BLACK,222011,No,BLACK,M,POTOMAC,MD,MD,A - Marked Patrol,Warning
FAILURE OF DRIVER TO MAKE LANE CHANGE TO AVAILABLELANE NOT IMMED ADJACENT TO STOPPED EMERG VEH,No,No,No,No,No,MD,02 - Automobile,2005.0,CHEVROLET,IMPALA,GRAY,21405e1,No,WHITE,M,SILVER SPRING,MD,MD,A - Marked Patrol,Warning
FAILURE OF LICENSEE TO NOTIFY ADMINISTRATION OF CHANGE OF ADDRESS WITHIN 30 DAYS,No,No,No,No,No,MD,02 - Automobile,2001.0,INFINITY,I30,SILVER,16116a,No,BLACK,M,GERMANTOWN,MD,NY,A - Marked Patrol,Warning
DRIVER FAILURE TO OBEY DESIGNATED LANE DIRECTIONS,No,No,No,No,No,MD,02 - Automobile,2006.0,MERC,R350,BLACK,21309d,No,BLACK,F,POTOMAC,MD,MD,A - Marked Patrol,Warning
OPERATING UNREGISTERED MOTOR VEHICLE ON HIGHWAY,No,No,No,No,No,CO,02 - Automobile,2008.0,SUBA,FORESTER,TAN,13401b1,No,WHITE,M,SILVER SPRING,MD,MD,A - Marked Patrol,Warning
FAILURE TO ATTACH VEHICLE REGISTRATION PLATES AT FRONT AND REAR,No,No,No,No,No,MD,02 - Automobile,2007.0,ACUR,4S,RED,13411a,No,HISPANIC,M,GAITHERSBURG,MD,MD,A - Marked Patrol,Warning
FAILURE OF VEH ON HWY TO DISPLAY LIGHTED LAMPS ILLUMINATING DEVICE IN UNFAVORABLE VISIBILITY COND,No,No,No,No,No,MD,02 - Automobile,2006.0,CHRY,4S,SILVER,222011,No,BLACK,F,SILVER SPRING,MD,MD,A - Marked Patrol,Warning
DRIVER ENTERING INTERSECTION AT FLASHING RED TRAFFIC SIGNAL WITHOUT STOPPING,No,No,No,No,No,WV,02 - Automobile,2005.0,BMW,4S,SILVER,21204d,No,WHITE,M,POINTS,WV,WV,A - Marked Patrol,Warning
EXCEEDING THE POSTED SPEED LIMIT OF 40 MPH,No,No,No,No,No,MD,05 - Light Duty Truck,2015.0,HONDA,CRV,GRAY,218011,No,ASIAN,M,ROCKVILLE,MD,MD,E - Marked Stationary Radar,Warning
DRIVER FAIL TO STOP AT RED TRAFFIC SIGNAL BEFORE RIGHT TURN,No,No,No,No,No,MD,02 - Automobile,1995.0,HONDA,ODYSSEY,GOLD,21202i1,No,BLACK,M,SILVER SPRING,MD,MD,A - Marked Patrol,Warning
OPERATING VEHICLE ON HIGHWAY WITH UNAUTHORIZED WINDOW TINTING MATERIAL,No,No,No,No,No,MD,02 - Automobile,2003.0,HOND,CIVIC 2S,BLACK,22406i1,No,ASIAN,M,GAITHERSBURG,MD,MD,A - Marked Patrol,Warning
FAILURE TO DISPLAY REGISTRATION CARD UPON DEMAND BY POLICE OFFICER,No,No,No,No,No,MD,02 - Automobile,2013.0,MERCEDES,S550,BLACK,13409b,No,BLACK,F,SILVER SPRING,MD,MD,A - Marked Patrol,Warning
OPERATING VEHICLE ON HIGHWAY WITH UNAUTHORIZED WINDOW TINTING MATERIAL,No,No,No,No,No,MD,02 - Automobile,2014.0,LEXUS,4D,GRAY,22406i1,No,BLACK,M,BOWIE,MD,MD,A - Marked Patrol,Warning
DRIVER USING HANDS TO USE HANDHELD TELEPHONE WHILEMOTOR VEHICLE IS IN MOTION,No,No,No,No,No,MD,02 - Automobile,2006.0,NISS,4D,WHITE,2111242d2,No,HISPANIC,M,BELTSVILLE,MD,MD,A - Marked Patrol,Warning
DRIVING VEHICLE ON HIGHWAY WITHOUT CURRENT REGISTRATION PLATES AND VALIDATION TABS,No,No,No,No,No,MD,02 - Automobile,2008.0,NISSAN,ALTIMA,GRAY,13411d,No,BLACK,M,SILVER SPRING,MD,MD,A - Marked Patrol,Warning
FAILURE TO ATTACH VEH REG PLATES AT FRONT AND REAR,No,No,No,No,No,MD,02 - Automobile,2014.0,AUDI,S5,WHITE,13411a,No,WHITE,M,ROCKVILLE,MD,MD,A - Marked Patrol,Warning
FAILURE OF LICENSEE TO NOTIFY ADMINISTRATION OF CHANGE OF ADDRESS WITHIN 30 DAYS,No,No,No,No,No,MD,02 - Automobile,2008.0,CHEVY,COBALT,SILVER,16116a,No,BLACK,M,SILVER SPRING,MD,MD,A - Marked Patrol,Warning
DRIVE ACROSS PRIVATE PROPERTY FOR THE PURPOSE OF AVOIDING TRAFFIC CONTROL DEVICE,No,No,No,No,No,MD,02 - Automobile,2007.0,NISSAN,FRONTIER,BLACK,21201a2,No,WHITE,M,HYATTSVILLE,MD,MD,A - Marked Patrol,Warning
ENTERING TRAVELING IN LANE OVER WHICH RED SIGNAL SHOWN,No,No,No,No,No,MD,02 - Automobile,2011.0,NISSAN,4DR,,212041,No,BLACK,M,ALEXANDRIA,VA,MD,A - Marked Patrol,Warning
NO REAR CLEARANCE NO REAR ID LAMPS,No,No,No,No,No,MD,25 - Utility Trailer,2004.0,KAUF,TL,GREEN,113939,No,HISPANIC,M,GERMANTOWN,MD,MD,A - Marked Patrol,Warning
FAILURE TO MAINTAIN LEGIBLE REGISTRATION PLATE FREE FROM COVERS,No,No,No,No,No,MD,02 - Automobile,2012.0,HONDA,ODYSSEY,GRAY,13411c1,No,ASIAN,F,ROCKVILLE,MD,MD,A - Marked Patrol,Warning
DRIVER FAILURE TO STOP AT STEADY CIRCULAR RED SIGNAL,No,No,No,No,No,NY,01 - Motorcycle,2008.0,HYUN,2DR,BLACK,21202h1,No,WHITE,M,CONKLIN,NY,NY,A - Marked Patrol,Warning
DRIVING VEH WO ADEQUATE REAR REG PLATE ILLUMINATION,No,No,No,No,No,MD,02 - Automobile,2002.0,FORD,MUSTANG,BLACK,22204f,No,HISPANIC,M,NORTH POTOMAC,MD,MD,A - Marked Patrol,Warning
FAILURE VEH TO YIELD INTERSECTION RIGHTOFWAY TO ANOTHER VEH,No,No,No,No,No,MD,02 - Automobile,1996.0,CHEVROLET,TK,GREEN LGT,21401,No,BLACK,M,TEMPLE HILLS,MD,MD,A - Marked Patrol,Warning
DRIVER FAILURE TO STOP AT STEADY CIRCULAR RED SIGNAL,No,No,No,No,No,MD,02 - Automobile,1996.0,CHEV,4S,SILVER,21202h1,No,WHITE,M,KENSINGTON,MD,MD,A - Marked Patrol,Warning
DRIVING VEHICLE ON HIGHWAY WITH SUSPENDED REGISTRATION,No,No,No,No,No,MD,02 - Automobile,2002.0,DODGE,NEON,GREEN DK,13401h,No,WHITE,M,LANHAM,MD,MD,A - Marked Patrol,Warning
FAILURE OF LICENSEE TO NOTIFY ADMINISTRATION OF CHANGE OF ADDRESS WITHIN 30 DAYS,No,No,No,No,No,MD,02 - Automobile,2014.0,FORD,MUSTANG,BLACK,16116a,No,WHITE,M,NORTH WEST,DC,MD,A - Marked Patrol,Warning
FAILURE TO DRIVE VEHICLE ON RIGHT HALF OF ROADWAY WHEN REQUIRED,No,No,No,No,No,MD,02 - Automobile,2001.0,JEEP,TRUCK,GREEN,21301a,No,WHITE,M,ROCKVILLE,MD,MD,A - Marked Patrol,Warning
DRIVING VEHICLE IN EXCESS OF REASONABLE AND PRUDENT SPEED ON HIGHWAY SPEED,No,No,No,No,No,MD,01 - Motorcycle,2010.0,HONDA,CIVIC,BLUE LIGHT,21801a,No,BLACK,F,WINDSOR MILL,MD,MD,Q - Marked Laser,Warning
DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,No,No,No,No,No,MD,02 - Automobile,2010.0,HONDA,CRV,RED,21201a1,No,OTHER,M,SILVER SPRING,MD,MD,A - Marked Patrol,Warning
FAILURE OF INDIVIDUAL DRIVING ON HIGHWAY TO DISPLAY LICENSE TO UNIFORMED POLICE ON DEMAND,No,No,No,No,No,VA,02 - Automobile,1998.0,JEEP,CHEROKEE,GREEN,16112c,No,WHITE,M,GAITHERSBURG,MD,MD,Q - Marked Laser,Warning
DRIVING VEH WO ADEQUATE REAR REG PLATE ILLUMINATION,No,No,No,No,No,MD,02 - Automobile,2008.0,MAZD,RX8,GRAY,22204f,No,WHITE,M,GAITHERSBURG,MD,MD,Q - Marked Laser,Warning
DRIVING VEH ON HWY WO REQUIRED MINIMUM EQUIPMENT,No,No,No,No,No,MD,29 - Unknown,2001.0,FORD,EXPEDITION,GREEN DK,23104,No,BLACK,F,BURTONSVILLE,MD,MD,A - Marked Patrol,Warning
EXCEEDING THE POSTED SPEED LIMIT OF 55 MPH,No,No,No,No,No,VA,02 - Automobile,2003.0,HONDA,ACCORD,GOLD,218011,No,WHITE,F,ARLINGTON,VA,VA,A - Marked Patrol,Warning
DRIVING VEH WO ADEQUATE REAR REG PLATE ILLUMINATION,No,No,No,No,No,MD,02 - Automobile,2010.0,TOYOTA,COROLLA,GRAY,22204f,No,WHITE,M,SILVER SPRING,MD,MD,A - Marked Patrol,Warning
FAILURE TO DISPLAY REGISTRATION CARD UPON DEMAND BY POLICE OFFICER,No,No,No,No,No,MD,02 - Automobile,2002.0,ACURA,SUV,SILVER,13409b,No,WHITE,F,CLARKSBURG,MD,MD,A - Marked Patrol,Warning
DRIVING VEHICLE IN EXCESS OF REASONABLE AND PRUDENT SPEED ON HIGHWAY,No,No,No,No,No,MD,02 - Automobile,2014.0,TOYOTA,SUV,BLACK,21801a,No,WHITE,M,SILVER SPRING,MD,MD,A - Marked Patrol,Warning
