age,height,body_type,drinks,drugs,education,ethnicity,location,orientation,sex,sign,smokes,status,class,
24,71,a little extra,socially,never,graduated from high school,"black, other","oakland, california",straight,m,taurus,yes,single,non_stem,
23,63,average,socially,sometimes,working on college/university,white,"san francisco, california",straight,f,scorpio but it doesn&rsquo,t matter,no,seeing someone,non_stem
42,67,curvy,socially,never,graduated from college/university,white,"burlingame, california",straight,f,scorpio and it&rsquo,s fun to think about,no,single,non_stem
24,63,average,socially,never,graduated from college/university,white,"san francisco, california",straight,f,pisces and it&rsquo,s fun to think about,no,single,non_stem
28,71,athletic,socially,never,graduated from college/university,white,"san francisco, california",straight,m,taurus but it doesn&rsquo,t matter,no,single,non_stem
32,59,average,not at all,never,graduated from college/university,white,"benicia, california",straight,f,aquarius but it doesn&rsquo,t matter,no,single,non_stem
40,65,athletic,socially,never,graduated from masters program,white,"san francisco, california",straight,f,leo,no,single,non_stem,
34,71,a little extra,not at all,never,graduated from college/university,asian,"san francisco, california",straight,m,leo and it&rsquo,s fun to think about,no,single,non_stem
24,70,fit,socially,sometimes,working on space camp,"asian, white","san francisco, california",straight,m,taurus and it&rsquo,s fun to think about,sometimes,single,non_stem
34,62,thin,socially,never,graduated from college/university,asian,"san francisco, california",straight,f,pisces but it doesn&rsquo,t matter,no,single,non_stem
29,63,curvy,socially,never,graduated from college/university,black,"san leandro, california",straight,f,cancer,no,single,non_stem,
32,61,average,socially,never,graduated from college/university,asian,"san francisco, california",straight,f,sagittarius but it doesn&rsquo,t matter,no,single,non_stem
25,70,athletic,socially,never,working on masters program,black,"oakland, california",straight,f,capricorn but it doesn&rsquo,t matter,no,single,non_stem
37,73,a little extra,socially,never,working on space camp,white,"belmont, california",straight,m,aries and it&rsquo,s fun to think about,no,available,non_stem
28,70,used up,socially,never,working on law school,middle eastern,"san francisco, california",straight,m,taurus and it&rsquo,s fun to think about,no,single,non_stem
28,66,fit,socially,never,graduated from college/university,"asian, pacific islander","san francisco, california",gay,m,taurus and it&rsquo,s fun to think about,no,single,non_stem
28,69,athletic,socially,never,graduated from college/university,white,"berkeley, california",straight,m,cancer and it&rsquo,s fun to think about,no,single,non_stem
27,68,average,socially,never,graduated from college/university,white,"san francisco, california",straight,f,cancer but it doesn&rsquo,t matter,no,single,non_stem
24,74,athletic,socially,sometimes,working on college/university,white,"san francisco, california",bisexual,m,sagittarius and it&rsquo,s fun to think about,no,single,non_stem
18,73,fit,socially,never,working on college/university,"black, native american, hispanic / latin","vallejo, california",straight,m,capricorn,no,single,non_stem,
32,72,fit,socially,sometimes,graduated from masters program,white,"san francisco, california",straight,m,taurus but it doesn&rsquo,t matter,no,single,non_stem
29,68,curvy,very often,never,graduated from college/university,white,"san francisco, california",straight,f,libra and it&rsquo,s fun to think about,no,single,non_stem
27,68,a little extra,socially,never,graduated from college/university,hispanic / latin,"san francisco, california",straight,m,leo but it doesn&rsquo,t matter,no,single,non_stem
24,69,athletic,socially,never,graduated from college/university,"black, other","novato, california",straight,f,taurus but it doesn&rsquo,t matter,no,single,non_stem
27,68,athletic,socially,never,graduated from college/university,asian,"san francisco, california",straight,m,sagittarius but it doesn&rsquo,t matter,no,available,non_stem
36,71,average,often,never,graduated from ph.d program,white,"san francisco, california",gay,m,libra but it doesn&rsquo,t matter,no,single,non_stem
22,70,average,often,sometimes,graduated from college/university,asian,"san francisco, california",straight,m,cancer but it doesn&rsquo,t matter,yes,single,non_stem
31,72,athletic,often,never,graduated from ph.d program,white,"san francisco, california",straight,m,aries,when drinking,single,non_stem,
37,64,fit,not at all,never,graduated from college/university,white,"berkeley, california",straight,f,sagittarius and it&rsquo,s fun to think about,no,single,non_stem
47,66,curvy,socially,sometimes,graduated from college/university,white,"san francisco, california",straight,f,leo and it&rsquo,s fun to think about,no,single,non_stem
33,69,fit,socially,sometimes,dropped out of space camp,white,"walnut creek, california",straight,m,taurus and it&rsquo,s fun to think about,no,single,non_stem
31,72,average,socially,never,graduated from college/university,middle eastern,"san francisco, california",straight,m,capricorn and it&rsquo,s fun to think about,no,single,non_stem
61,71,athletic,socially,never,graduated from college/university,white,"san francisco, california",straight,m,virgo but it doesn&rsquo,t matter,no,single,non_stem
24,70,athletic,rarely,never,working on college/university,asian,"daly city, california",straight,m,scorpio but it doesn&rsquo,t matter,no,single,non_stem
38,69,full figured,socially,never,graduated from masters program,white,"oakland, california",straight,m,cancer and it&rsquo,s fun to think about,no,single,non_stem
38,64,average,socially,never,graduated from masters program,asian,"south san francisco, california",straight,f,aries and it&rsquo,s fun to think about,no,single,non_stem
29,67,athletic,socially,never,graduated from college/university,white,"oakland, california",straight,f,leo but it doesn&rsquo,t matter,no,single,non_stem
59,70,fit,socially,never,graduated from two-year college,white,"martinez, california",bisexual,m,gemini but it doesn&rsquo,t matter,no,single,non_stem
35,72,average,very often,often,dropped out of ph.d program,"asian, middle eastern, black, native american, indian, pacific islander, hispanic / latin, white, other","san francisco, california",straight,m,leo,yes,single,non_stem,
32,66,thin,often,never,working on college/university,white,"san francisco, california",straight,m,pisces but it doesn&rsquo,t matter,no,seeing someone,non_stem
54,62,thin,socially,never,graduated from college/university,white,"san francisco, california",straight,f,aquarius,no,single,non_stem,
21,74,a little extra,socially,sometimes,working on two-year college,black,"san francisco, california",straight,m,scorpio,yes,single,non_stem,
43,75,athletic,socially,never,graduated from masters program,white,"san francisco, california",straight,m,capricorn and it&rsquo,s fun to think about,no,single,non_stem
44,71,a little extra,socially,never,graduated from two-year college,white,"san francisco, california",gay,m,leo and it&rsquo,s fun to think about,no,single,non_stem
22,76,average,very often,sometimes,graduated from college/university,white,"san francisco, california",straight,m,taurus,yes,single,non_stem,
28,70,average,socially,never,graduated from college/university,"hispanic / latin, other","richmond, california",straight,m,gemini and it&rsquo,s fun to think about,no,single,non_stem
31,72,athletic,socially,sometimes,graduated from two-year college,white,"emeryville, california",straight,m,leo and it&rsquo,s fun to think about,sometimes,single,non_stem
33,69,fit,often,never,graduated from med school,indian,"berkeley, california",straight,f,capricorn but it doesn&rsquo,t matter,no,single,non_stem
32,65,fit,rarely,never,graduated from law school,white,"san francisco, california",straight,f,leo but it doesn&rsquo,t matter,no,single,non_stem
29,68,fit,socially,never,working on college/university,asian,"oakland, california",straight,m,sagittarius,no,single,non_stem,
37,74,athletic,not at all,never,working on college/university,"hispanic / latin, white","san francisco, california",straight,m,virgo,no,single,non_stem,
45,64,thin,socially,never,graduated from masters program,white,"san francisco, california",straight,f,gemini and it&rsquo,s fun to think about,no,single,non_stem
25,60,skinny,rarely,never,graduated from college/university,asian,"oakland, california",straight,f,pisces and it&rsquo,s fun to think about,no,available,non_stem
29,68,fit,socially,never,graduated from law school,white,"oakland, california",straight,f,scorpio,no,single,non_stem,
31,61,curvy,socially,never,graduated from college/university,asian,"pacifica, california",straight,f,capricorn and it&rsquo,s fun to think about,no,single,non_stem
27,68,athletic,socially,never,graduated from college/university,white,"san francisco, california",straight,f,sagittarius but it doesn&rsquo,t matter,no,single,non_stem
27,73,average,socially,never,working on college/university,white,"san francisco, california",straight,m,aries but it doesn&rsquo,t matter,no,available,non_stem
28,69,average,socially,never,graduated from college/university,other,"san francisco, california",gay,m,aries but it doesn&rsquo,t matter,no,single,non_stem
36,62,fit,socially,never,working on masters program,asian,"san francisco, california",straight,f,leo and it&rsquo,s fun to think about,no,single,non_stem
41,67,average,socially,never,working on ph.d program,white,"berkeley, california",straight,f,cancer and it&rsquo,s fun to think about,no,single,non_stem
28,64,average,socially,never,graduated from two-year college,pacific islander,"vallejo, california",straight,m,scorpio but it doesn&rsquo,t matter,no,single,non_stem
56,74,fit,socially,never,graduated from college/university,white,"san francisco, california",gay,m,scorpio and it&rsquo,s fun to think about,no,single,non_stem
22,71,average,socially,never,working on college/university,white,"oakland, california",straight,f,scorpio and it&rsquo,s fun to think about,no,single,non_stem
42,64,average,socially,never,graduated from two-year college,asian,"san francisco, california",straight,f,leo,no,single,non_stem,
31,63,fit,socially,never,graduated from college/university,white,"oakland, california",straight,f,pisces and it&rsquo,s fun to think about,no,single,non_stem
34,65,fit,socially,sometimes,graduated from masters program,white,"san francisco, california",straight,f,pisces,when drinking,single,non_stem,
26,66,skinny,socially,never,graduated from college/university,hispanic / latin,"san francisco, california",gay,m,pisces and it&rsquo,s fun to think about,sometimes,single,non_stem
30,74,average,socially,never,working on masters program,"middle eastern, white","san francisco, california",straight,m,cancer and it&rsquo,s fun to think about,no,single,non_stem
44,61,fit,not at all,never,graduated from college/university,white,"oakland, california",bisexual,f,cancer and it&rsquo,s fun to think about,no,available,non_stem
34,63,curvy,often,never,graduated from college/university,"black, hispanic / latin","san francisco, california",straight,f,taurus and it&rsquo,s fun to think about,no,single,non_stem
30,69,athletic,socially,never,working on ph.d program,white,"berkeley, california",straight,f,leo and it&rsquo,s fun to think about,no,single,non_stem
37,75,fit,socially,sometimes,graduated from college/university,black,"san francisco, california",straight,m,aquarius but it doesn&rsquo,t matter,no,single,non_stem
46,73,fit,socially,never,graduated from two-year college,white,"benicia, california",straight,m,pisces and it&rsquo,s fun to think about,no,single,non_stem
26,75,fit,rarely,never,graduated from college/university,"native american, white, other","daly city, california",gay,m,leo and it matters a lot,no,single,non_stem,
26,77,fit,socially,sometimes,graduated from college/university,white,"daly city, california",straight,m,cancer and it&rsquo,s fun to think about,sometimes,single,non_stem
28,69,fit,socially,never,graduated from masters program,asian,"san francisco, california",straight,m,scorpio but it doesn&rsquo,t matter,no,single,non_stem
28,69,fit,socially,never,graduated from law school,"pacific islander, other","san bruno, california",straight,m,capricorn but it doesn&rsquo,t matter,no,single,non_stem
26,70,athletic,socially,never,graduated from masters program,white,"san francisco, california",straight,f,libra but it doesn&rsquo,t matter,no,single,non_stem
22,67,a little extra,not at all,never,working on two-year college,"black, native american","richmond, california",straight,f,pisces and it matters a lot,no,single,non_stem,
34,63,fit,socially,never,graduated from masters program,white,"san francisco, california",straight,f,libra,no,single,non_stem,
27,66,athletic,socially,never,graduated from college/university,white,"san francisco, california",straight,f,taurus but it doesn&rsquo,t matter,no,single,non_stem
37,64,average,socially,never,graduated from college/university,white,"martinez, california",straight,f,sagittarius and it&rsquo,s fun to think about,no,single,non_stem
42,74,fit,socially,never,graduated from college/university,black,"san francisco, california",straight,m,leo,no,single,non_stem,
21,62,average,socially,never,working on college/university,white,"berkeley, california",straight,f,scorpio but it doesn&rsquo,t matter,no,single,non_stem
42,72,athletic,socially,never,graduated from space camp,white,"san francisco, california",straight,m,sagittarius,no,single,non_stem,
40,71,average,socially,never,graduated from college/university,asian,"san francisco, california",straight,m,capricorn but it doesn&rsquo,t matter,no,single,non_stem
42,68,athletic,socially,sometimes,graduated from space camp,other,"san francisco, california",straight,m,taurus,no,single,non_stem,
36,63,fit,socially,never,graduated from ph.d program,white,"san rafael, california",straight,f,gemini and it&rsquo,s fun to think about,no,single,non_stem
58,71,average,rarely,never,graduated from two-year college,white,"oakland, california",straight,m,sagittarius but it doesn&rsquo,t matter,no,single,non_stem
27,65,fit,socially,sometimes,graduated from college/university,white,"oakland, california",straight,f,scorpio,no,single,non_stem,
52,66,athletic,socially,never,graduated from masters program,white,"oakland, california",straight,m,aquarius but it doesn&rsquo,t matter,no,single,non_stem
44,62,fit,socially,never,graduated from college/university,white,"san francisco, california",straight,f,cancer and it&rsquo,s fun to think about,no,single,non_stem
29,69,a little extra,socially,sometimes,graduated from high school,"middle eastern, hispanic / latin","san francisco, california",straight,m,capricorn and it&rsquo,s fun to think about,yes,single,non_stem
35,67,fit,socially,sometimes,graduated from college/university,white,"san francisco, california",straight,m,libra but it doesn&rsquo,t matter,no,single,non_stem
34,69,average,socially,never,graduated from college/university,asian,"san francisco, california",straight,m,virgo and it&rsquo,s fun to think about,no,single,non_stem
27,79,thin,socially,sometimes,working on college/university,white,"oakland, california",bisexual,m,aries and it&rsquo,s fun to think about,sometimes,single,non_stem
28,67,average,socially,sometimes,graduated from high school,white,"oakland, california",straight,f,libra but it doesn&rsquo,t matter,sometimes,single,non_stem
23,68,a little extra,socially,never,high school,hispanic / latin,"san mateo, california",straight,m,pisces and it&rsquo,s fun to think about,no,single,non_stem
26,70,athletic,socially,never,college/university,"black, other","san bruno, california",straight,m,leo,no,single,non_stem,
37,63,average,not at all,never,graduated from ph.d program,white,"san francisco, california",straight,f,cancer and it&rsquo,s fun to think about,no,single,non_stem
35,62,average,rarely,never,graduated from college/university,asian,"oakland, california",straight,f,capricorn and it&rsquo,s fun to think about,no,single,non_stem
39,71,athletic,socially,never,graduated from college/university,native american,"san francisco, california",straight,m,pisces but it doesn&rsquo,t matter,no,single,non_stem
27,69,average,rarely,never,graduated from college/university,asian,"millbrae, california",straight,m,aquarius,no,single,non_stem,
44,75,average,socially,never,graduated from college/university,white,"oakland, california",gay,m,gemini but it doesn&rsquo,t matter,no,single,non_stem
25,73,a little extra,often,never,working on college/university,white,"castro valley, california",straight,m,cancer,no,seeing someone,non_stem,
48,68,average,often,never,graduated from college/university,white,"san mateo, california",straight,f,cancer but it doesn&rsquo,t matter,no,single,non_stem
41,69,athletic,socially,never,graduated from college/university,"hispanic / latin, white","san francisco, california",straight,m,virgo and it&rsquo,s fun to think about,no,single,non_stem
27,73,athletic,socially,never,graduated from college/university,white,"palo alto, california",straight,m,pisces but it doesn&rsquo,t matter,no,single,non_stem
24,60,average,socially,never,graduated from college/university,white,"san francisco, california",gay,f,gemini but it doesn&rsquo,t matter,no,single,non_stem
24,74,athletic,socially,never,graduated from college/university,white,"san francisco, california",straight,m,libra and it&rsquo,s fun to think about,no,single,non_stem
43,70,fit,socially,never,graduated from masters program,white,"san francisco, california",straight,f,gemini,no,single,non_stem,
55,67,average,not at all,never,graduated from college/university,white,"novato, california",straight,f,virgo and it&rsquo,s fun to think about,sometimes,single,non_stem
27,72,used up,socially,never,graduated from college/university,white,"berkeley, california",straight,m,aquarius,no,single,non_stem,
46,72,fit,socially,never,graduated from masters program,white,"san francisco, california",gay,m,scorpio,no,single,non_stem,
27,68,average,socially,sometimes,graduated from college/university,white,"san francisco, california",straight,m,aquarius but it doesn&rsquo,t matter,no,single,non_stem
30,64,athletic,socially,never,graduated from masters program,"hispanic / latin, white","alameda, california",straight,f,sagittarius but it doesn&rsquo,t matter,no,single,non_stem
34,66,fit,socially,never,graduated from masters program,white,"san francisco, california",straight,f,aries but it doesn&rsquo,t matter,no,single,non_stem
25,74,fit,socially,sometimes,graduated from college/university,white,"berkeley, california",gay,m,taurus,no,single,non_stem,
20,65,curvy,rarely,sometimes,working on college/university,asian,"south san francisco, california",straight,f,leo but it doesn&rsquo,t matter,sometimes,seeing someone,non_stem
20,76,average,socially,never,working on college/university,white,"san mateo, california",straight,m,scorpio and it&rsquo,s fun to think about,no,single,non_stem
26,66,athletic,socially,never,graduated from college/university,white,"oakland, california",straight,f,leo,no,single,non_stem,
39,70,athletic,not at all,sometimes,graduated from college/university,white,"berkeley, california",straight,m,aries but it doesn&rsquo,t matter,no,available,non_stem
28,62,curvy,socially,never,graduated from masters program,white,"san francisco, california",straight,f,taurus and it&rsquo,s fun to think about,no,seeing someone,non_stem
28,64,average,often,never,graduated from college/university,asian,"redwood city, california",straight,f,capricorn and it&rsquo,s fun to think about,no,single,non_stem
29,65,fit,socially,never,graduated from college/university,asian,"emeryville, california",straight,m,scorpio,no,single,non_stem,
25,62,average,rarely,never,graduated from college/university,asian,"san francisco, california",straight,f,capricorn and it&rsquo,s fun to think about,no,single,non_stem
28,62,curvy,socially,never,graduated from college/university,white,"oakland, california",bisexual,f,taurus and it&rsquo,s fun to think about,no,single,non_stem
25,67,average,socially,never,graduated from college/university,asian,"san mateo, california",straight,f,pisces,no,single,non_stem,
30,68,average,socially,never,working on college/university,asian,"san francisco, california",straight,m,gemini but it doesn&rsquo,t matter,no,single,non_stem
29,72,athletic,often,sometimes,graduated from college/university,"hispanic / latin, white","belmont, california",straight,m,aquarius,sometimes,single,non_stem,
19,74,average,socially,often,working on high school,white,"millbrae, california",straight,m,virgo but it doesn&rsquo,t matter,sometimes,single,non_stem
24,66,average,socially,never,graduated from college/university,asian,"san francisco, california",straight,m,libra but it doesn&rsquo,t matter,no,single,non_stem
37,66,skinny,not at all,never,graduated from college/university,asian,"san leandro, california",straight,f,taurus but it doesn&rsquo,t matter,yes,single,non_stem
29,70,athletic,socially,never,graduated from college/university,white,"san francisco, california",straight,m,sagittarius but it doesn&rsquo,t matter,no,single,non_stem
24,67,skinny,socially,sometimes,dropped out of college/university,"asian, other","san francisco, california",straight,m,aquarius,no,seeing someone,non_stem,
30,66,average,socially,never,graduated from college/university,asian,"san francisco, california",straight,m,cancer and it&rsquo,s fun to think about,trying to quit,single,non_stem
58,66,curvy,often,never,graduated from two-year college,white,"novato, california",straight,f,libra but it doesn&rsquo,t matter,no,single,non_stem
27,73,average,socially,never,graduated from masters program,white,"emeryville, california",straight,m,aquarius but it doesn&rsquo,t matter,no,single,non_stem
28,69,average,socially,sometimes,graduated from college/university,asian,"san francisco, california",gay,m,gemini and it&rsquo,s fun to think about,when drinking,available,non_stem
47,65,fit,socially,never,graduated from masters program,white,"sausalito, california",straight,f,aries but it doesn&rsquo,t matter,no,single,non_stem
23,63,athletic,socially,never,working on college/university,"hispanic / latin, white","moraga, california",straight,f,gemini and it&rsquo,s fun to think about,no,single,non_stem
30,72,fit,socially,never,graduated from med school,white,"san mateo, california",straight,m,capricorn and it&rsquo,s fun to think about,no,single,non_stem
31,72,thin,often,sometimes,graduated from college/university,white,"oakland, california",straight,m,pisces,sometimes,single,non_stem,
49,66,thin,socially,never,graduated from law school,white,"lafayette, california",straight,f,capricorn,no,single,non_stem,
32,70,fit,socially,never,graduated from masters program,white,"san francisco, california",straight,m,capricorn,no,single,non_stem,
42,67,fit,socially,sometimes,graduated from college/university,white,"san francisco, california",straight,m,leo but it doesn&rsquo,t matter,no,single,non_stem
25,74,average,socially,often,graduated from college/university,"native american, white, other","san rafael, california",straight,m,cancer and it&rsquo,s fun to think about,no,single,non_stem
29,66,thin,rarely,never,graduated from college/university,white,"san francisco, california",straight,f,aries but it doesn&rsquo,t matter,sometimes,single,non_stem
25,70,fit,rarely,never,working on college/university,white,"san leandro, california",straight,m,leo,no,single,non_stem,
27,76,overweight,socially,never,graduated from two-year college,white,"san pablo, california",straight,m,aries and it&rsquo,s fun to think about,trying to quit,single,non_stem
22,62,fit,socially,never,graduated from college/university,white,"san francisco, california",bisexual,f,virgo and it&rsquo,s fun to think about,no,single,non_stem
31,76,a little extra,socially,never,graduated from college/university,white,"martinez, california",straight,m,scorpio and it&rsquo,s fun to think about,yes,single,non_stem
31,68,a little extra,socially,never,working on college/university,asian,"benicia, california",straight,m,pisces,no,single,non_stem,
33,65,fit,socially,never,graduated from college/university,"middle eastern, white","san francisco, california",straight,f,aries and it&rsquo,s fun to think about,when drinking,single,non_stem
30,74,athletic,rarely,never,working on college/university,white,"albany, california",straight,m,virgo,no,single,non_stem,
33,66,thin,socially,never,graduated from college/university,white,"oakland, california",straight,m,libra,no,single,non_stem,
26,62,fit,often,never,graduated from college/university,white,"san francisco, california",straight,f,aries and it&rsquo,s fun to think about,no,single,non_stem
29,61,fit,rarely,never,graduated from ph.d program,white,"san francisco, california",straight,m,libra but it doesn&rsquo,t matter,no,single,non_stem
40,69,fit,rarely,never,graduated from masters program,"hispanic / latin, white","san francisco, california",straight,m,libra and it&rsquo,s fun to think about,no,single,non_stem
30,72,average,socially,never,graduated from college/university,white,"san francisco, california",straight,f,virgo but it doesn&rsquo,t matter,yes,single,non_stem
52,63,fit,socially,never,graduated from college/university,white,"benicia, california",straight,f,aquarius but it doesn&rsquo,t matter,no,single,non_stem
30,72,athletic,socially,sometimes,graduated from college/university,white,"san francisco, california",straight,m,aries but it doesn&rsquo,t matter,no,married,non_stem
52,66,average,socially,never,graduated from college/university,white,"benicia, california",straight,f,pisces and it&rsquo,s fun to think about,no,single,non_stem
27,63,athletic,socially,never,graduated from college/university,white,"redwood city, california",straight,f,gemini and it&rsquo,s fun to think about,no,single,non_stem
32,55,a little extra,socially,never,graduated from high school,"hispanic / latin, white","san leandro, california",straight,f,libra but it doesn&rsquo,t matter,yes,single,non_stem
27,72,average,socially,never,graduated from masters program,white,"palo alto, california",straight,m,sagittarius but it doesn&rsquo,t matter,no,single,non_stem
21,74,athletic,not at all,never,graduated from high school,"black, native american, pacific islander, other","el cerrito, california",straight,m,sagittarius and it&rsquo,s fun to think about,yes,single,non_stem
25,68,fit,socially,never,graduated from college/university,asian,"san francisco, california",straight,m,virgo but it doesn&rsquo,t matter,no,single,non_stem
23,72,a little extra,socially,never,working on masters program,white,"san francisco, california",straight,m,libra but it doesn&rsquo,t matter,no,single,non_stem
27,65,average,socially,never,graduated from space camp,white,"san mateo, california",straight,f,leo,no,single,non_stem,
27,65,athletic,socially,never,graduated from college/university,asian,"millbrae, california",straight,m,gemini but it doesn&rsquo,t matter,no,single,non_stem
39,62,athletic,socially,never,graduated from masters program,white,"san francisco, california",bisexual,f,pisces but it doesn&rsquo,t matter,no,single,non_stem
59,61,curvy,rarely,never,graduated from college/university,white,"alameda, california",straight,f,virgo and it&rsquo,s fun to think about,no,single,non_stem
27,66,athletic,socially,never,graduated from masters program,asian,"redwood city, california",bisexual,f,scorpio and it matters a lot,no,available,non_stem,
57,65,a little extra,rarely,never,dropped out of masters program,white,"san anselmo, california",straight,f,scorpio but it doesn&rsquo,t matter,no,single,non_stem
31,73,average,desperately,never,graduated from masters program,white,"san francisco, california",gay,m,libra and it&rsquo,s fun to think about,no,available,non_stem
38,62,average,socially,never,dropped out of masters program,hispanic / latin,"san francisco, california",straight,f,aries but it doesn&rsquo,t matter,no,single,non_stem
33,63,thin,socially,never,graduated from college/university,asian,"oakland, california",straight,f,aquarius and it&rsquo,s fun to think about,sometimes,single,non_stem
30,72,fit,socially,never,graduated from two-year college,black,"san francisco, california",straight,m,leo and it matters a lot,no,single,non_stem,
40,78,average,often,sometimes,working on space camp,white,"oakland, california",straight,m,libra and it&rsquo,s fun to think about,sometimes,single,non_stem
47,70,curvy,not at all,never,graduated from college/university,white,"san francisco, california",bisexual,f,scorpio and it&rsquo,s fun to think about,no,single,non_stem
31,73,athletic,socially,never,graduated from law school,indian,"san francisco, california",straight,m,sagittarius but it doesn&rsquo,t matter,no,single,non_stem
27,70,skinny,rarely,sometimes,graduated from college/university,white,"oakland, california",straight,m,sagittarius and it&rsquo,s fun to think about,sometimes,single,non_stem
26,65,average,socially,never,graduated from masters program,white,"san bruno, california",straight,f,libra,no,single,non_stem,
25,72,athletic,socially,never,graduated from college/university,white,"crockett, california",straight,m,leo,no,single,non_stem,
51,63,full figured,socially,never,graduated from masters program,"middle eastern, hispanic / latin","san mateo, california",straight,f,virgo and it&rsquo,s fun to think about,no,single,non_stem
51,68,fit,rarely,never,graduated from college/university,white,"pleasant hill, california",straight,f,capricorn and it&rsquo,s fun to think about,no,single,non_stem
21,67,curvy,socially,never,graduated from high school,white,"mill valley, california",straight,f,leo,no,single,non_stem,
31,73,athletic,socially,never,graduated from college/university,white,"san francisco, california",straight,m,libra but it doesn&rsquo,t matter,no,single,non_stem
33,67,athletic,socially,never,graduated from college/university,white,"san francisco, california",straight,m,libra,no,single,non_stem,
47,71,fit,socially,never,graduated from college/university,white,"el cerrito, california",straight,m,cancer and it&rsquo,s fun to think about,no,single,non_stem
48,67,average,socially,never,graduated from masters program,indian,"menlo park, california",straight,m,leo but it doesn&rsquo,t matter,no,single,non_stem
21,72,skinny,not at all,never,working on two-year college,"indian, pacific islander","hayward, california",gay,m,gemini and it&rsquo,s fun to think about,no,available,non_stem
29,66,athletic,socially,never,graduated from college/university,white,"san francisco, california",straight,f,aries but it doesn&rsquo,t matter,no,single,non_stem
39,69,average,socially,never,dropped out of college/university,black,"oakland, california",straight,m,virgo,no,single,non_stem,
32,66,average,socially,never,graduated from college/university,white,"san francisco, california",straight,m,aries but it doesn&rsquo,t matter,no,seeing someone,non_stem
28,68,fit,socially,never,graduated from college/university,asian,"alameda, california",straight,m,aries and it&rsquo,s fun to think about,no,single,non_stem
29,71,fit,not at all,never,working on masters program,white,"belmont, california",straight,m,taurus and it&rsquo,s fun to think about,no,available,non_stem
28,71,used up,not at all,never,graduated from college/university,"asian, hispanic / latin, white","el cerrito, california",gay,m,leo and it&rsquo,s fun to think about,no,single,non_stem
39,70,athletic,socially,never,graduated from college/university,white,"oakland, california",gay,f,cancer and it&rsquo,s fun to think about,no,single,non_stem
30,68,athletic,socially,never,graduated from college/university,white,"san rafael, california",bisexual,f,virgo and it&rsquo,s fun to think about,no,seeing someone,non_stem
47,62,athletic,very often,never,graduated from college/university,white,"oakland, california",straight,f,sagittarius and it&rsquo,s fun to think about,when drinking,single,non_stem
27,67,athletic,socially,never,graduated from college/university,white,"san francisco, california",straight,f,virgo but it doesn&rsquo,t matter,no,single,non_stem
30,72,athletic,not at all,never,graduated from college/university,white,"redwood city, california",straight,m,libra,no,single,non_stem,
32,69,average,not at all,never,graduated from masters program,indian,"san francisco, california",gay,m,capricorn and it&rsquo,s fun to think about,no,single,non_stem
24,62,thin,often,never,graduated from college/university,white,"san francisco, california",straight,f,gemini but it doesn&rsquo,t matter,no,single,non_stem
40,73,a little extra,socially,sometimes,graduated from college/university,white,"san francisco, california",straight,m,aquarius and it&rsquo,s fun to think about,no,single,non_stem
27,72,fit,socially,sometimes,graduated from masters program,white,"san francisco, california",straight,m,virgo and it&rsquo,s fun to think about,no,single,non_stem
28,72,average,socially,never,graduated from college/university,white,"oakland, california",straight,m,aries but it doesn&rsquo,t matter,sometimes,single,non_stem
49,66,fit,socially,never,graduated from high school,asian,"oakland, california",straight,m,virgo and it&rsquo,s fun to think about,trying to quit,single,non_stem
29,74,athletic,socially,never,graduated from college/university,white,"san francisco, california",straight,m,leo,no,single,non_stem,
22,62,thin,socially,never,high school,hispanic / latin,"san francisco, california",straight,f,gemini,sometimes,single,non_stem,
21,69,a little extra,socially,sometimes,working on two-year college,white,"san francisco, california",gay,m,leo and it&rsquo,s fun to think about,when drinking,single,non_stem
31,65,thin,socially,never,graduated from college/university,white,"san francisco, california",straight,f,virgo and it&rsquo,s fun to think about,no,single,non_stem
34,69,athletic,socially,never,graduated from college/university,asian,"san francisco, california",gay,m,aquarius,no,single,non_stem,
28,73,athletic,not at all,never,working on two-year college,white,"orinda, california",straight,m,pisces and it&rsquo,s fun to think about,sometimes,single,non_stem
35,69,thin,socially,sometimes,graduated from college/university,white,"oakland, california",straight,f,capricorn and it&rsquo,s fun to think about,no,single,non_stem
21,72,fit,socially,never,working on college/university,black,"hayward, california",straight,m,cancer,no,single,non_stem,
25,70,athletic,rarely,never,graduated from college/university,white,"san carlos, california",straight,m,capricorn and it&rsquo,s fun to think about,no,single,non_stem
24,66,average,socially,never,working on college/university,other,"albany, california",straight,f,aries and it&rsquo,s fun to think about,no,single,non_stem
61,67,fit,socially,never,graduated from masters program,white,"mill valley, california",straight,f,capricorn and it&rsquo,s fun to think about,no,single,non_stem
27,67,a little extra,socially,never,graduated from college/university,"asian, pacific islander","san pablo, california",straight,m,gemini but it doesn&rsquo,t matter,no,single,non_stem
49,66,athletic,socially,never,working on masters program,white,"san francisco, california",straight,f,aquarius and it&rsquo,s fun to think about,no,single,non_stem
25,63,thin,rarely,never,graduated from masters program,"hispanic / latin, white","san francisco, california",bisexual,f,gemini but it doesn&rsquo,t matter,no,seeing someone,non_stem
46,66,athletic,socially,never,graduated from masters program,white,"oakland, california",straight,f,libra and it&rsquo,s fun to think about,no,single,non_stem
30,69,average,socially,never,graduated from masters program,white,"san francisco, california",gay,m,cancer but it doesn&rsquo,t matter,no,single,non_stem
35,72,average,socially,never,graduated from college/university,white,"belmont, california",straight,m,pisces but it doesn&rsquo,t matter,no,single,non_stem
